nya
lah
deh
sih
nih
aaa
aasshu
abal
account
aco
ada
adamaaf
aff
ah
ain
aja
ajar
ajgggg
ajng
amin
aminnnnnn
amit
anak
andai
angka
apa
apas
apasih
alias
alhasil
amazing
anti
anyeb
arah
area
arigatooooo
babay
bad
baca
bank
bar
barang
batas
bayi
best
bro
bye
byebye
card
center
china
close
code
contoh
cowok
cs
csnya
customer
custumer
cek
coba
chat
cocok
cape
capek
canda
browser
dah
dalam
dasar
data
daun
dua
duit
eh
enak
guys
hai
halo
hari
hasil
help
hmmm
hp
iya
itu
jadi
jalan
jam
jatuh
jaya
hadee
hadeehhh
hadeh
hadehh
hadehhh
haduhhhh
hahambps
hdehh
heh
hehe
hei
dadak
daerah
dah
dalam
dana
data
deg
deh
detail
dm
doang
drama
dua
duh
duit
edge
eh
eleh
enak
ehehe
hai
hmmm
hp
ig
im
info
iya
jadi
jalan
jam
b
e
yuk
nindy
nol
nik
nice
ada
apn
asu
axis
ayo
babi
ngok
woi
wkwk
woy
xl
adu
aduh
