slang,formal
dah,deh
jngn,jangan
klo,kalau
gimana,bagaimana
mnjawab,menjawab
woooiiiiiiii,woy
dosaaaaaaaaaa,dosa
ingt,ingat
karmaaa,karma
woooiiiii,woy
yg,yang
yg,yang
ngkkkkkk,mengakak
yg,yang
ad,ada
makny,maknya
orng,orang
wdooohhh,waduh
ank,anak
ap,apa
y,ya
kasihn,kasihan
bru,baru
lhirr,lahir
dpt,dapat
hujatann,hujatan
palgi,apalagi
kl,kalau
dh,dah
yaa,ya
wihhh,wih
kakakkk,kakak
bgt,sekali
bagusss,bagus
bangat,sekali
yah,ya
yuuk,ayo
yaa,ya
bgt,sekali
jt,juta
ngets,sekali
stp,setiap
penbelian,pembelian
cuaantik,cantik
sukakkk,suka
bgt,sekali
m,sama
pingin,ingin
yg,yang
jgn,jangan
yak,ya
yaa,ya
cucokkk,cocok
bngettt,sekali
bkin,bikin
lyt,lihat
expresi,ekspresi
natap,menatap
gilaaa,gila
bgt,sekali
gk,tidak
ccok,cocok
helloo,halo
yg,yang
emang,memang
mh,mah
udah,sudah
dripada,daripada
sama2,sama-sama
difotoin,difoto
mreka,mereka
psangan,pasangan
yg,yang
skali,sekali
knp,kenapa
bgttt,sekali
cakepp,cakep
ngiriii,mengiri
coxok,cocok
bgt,sekali
buatin,buatkan
lg,lagi
napa,kenapa
yahhh,ya
binggo,sekali
yng,yang
udah,sudah
liat,lihat
nihhh,nih
statusx,statusnya
cem,macam
yee,ya
klo,kalau
cntik,cantik
bgt,sekali
bgt,sekali
kaka,kakak
y,ya
ngikutin,mengikuti
ngikutin,mengikuti
cewe,cewek
aja,saja
sm,sama
sunggu,sungguh
udh,sudah
lagiii,lagi
denger,dengar
ammiiin,amin
haddeh,aduh
km,kamu
maaasss,mas
klo,kalau
ngomong,mengomong
nggak,tidak
bgt,sekali
segerrrr,segar
ilang,hilang
kemn,kemana
y,ya
g,tidak
suipit,sipit
y,ya
ngomong,mengomong
aj,saja
gk,tidak
"sama"",sama-sama"
sipiit,sipit
ga,tidak
kedengeran,kedengaran
akn,akan
slalu,selalu
smua,semua
yg,yang
kaka,kakak
semangaatt,semangat
trus,terus
yaah,ya
promil,program hamil
krn,karena
tdk,tidak
lancr,lancar
keputihn,keputihan
gratisss,gratis
km,kami
aamiin,amin
yaa,ya
kebayang,terbayang
dr,dari
aamiin,amin
"mdh"",mudah-mudah"
qt,kita
bz,bisa
amiinn,amin
liatnya,lihatnya
kk,kakak
aamiin,amin
amiennn,amien
aamiin,amin
aminnn,amin
amiin,amin
amiin,amin
ammin,amin
amiin,amin
amiin,amin
amiin,amin
smg,semoga
mendapatkn,mendapatkan
yg,yang
aminn,amin
aamiin,amin
yaa,ya
yg,yang
laki2,laki-laki
yg,yang
nihh,nih
nonton,menonton
sampe,sampai
lucuuuk,lucu
jg,juga
yaaa,ya
yaa,ya
gw,gue
amaattt,amat
namain,menamai
aje,saja
yaoloh,yaallah
guee,gue
emang,memang
nambah,bertambah
klo,kalau
ngerayain,merayakan
nambah,bertambah
nambah,bertambah
sotoy,sok tahu
yaoloh,yaallah
njir,anjir
liat,lihat
ny,nya
yok,ayo
buatin,membuat
gini,begini
kpn,kapan
d.bikinin,dibikin
kya,kaya
gini,begini
yah,ya
mmz,mas
bikinin,bikin
bapeeeer,bawa perasaan
ngiri,mengiri
yg,yang
lahh,lah
bs,bisa
bikinin,membikin
yah,ya
baperr,bawa perasaan
keliatannya,kelihatannya
udah,sudah
keliatannya,kelihatannya
ilang,hilang
tetep,tetap
siih,sih
udah,sudah
gak,tidak
duluuu,dahulu
diginiin,dibeginikan
nnti,nanti
yaa,ya
hadeehh,aduh
org,orang
pu,punya
suamiiiii,suami
sj,saja
tp,tetapi
kliatan,kelihatan
krenn,keren
yg,yang
gw,gue
blg,bilang
kebykan,kebanyakan
pake,pakai
aja,saja
keles,kali
bnyak,banyak
aja,saja
tingal,tinggal
pernikahn,pernikahan
ga,tidak
ngtain,mengatai
da,ada
macem,macam
orang2,orang-orang
nggak,tidak
bgt,sekali
klo,kalau
bagusnyeee,bagusnya
bgtt,sekali
kemaren,kemarin
yg,yang
yg,yang
yank,sayang
hmpir,hampir
kyak,seperti
ama,sama
dehh,deh
liatnyaaa,lihatnya
waw,wow
mbuh,embuh
bsk,besok
nyari,mencari
yg,yang
aja,saja
yg,yang
jdi,jadi
udh,sudah
sya,saya
baper,bawa perasaan
yaah,ya
waaa,wah
kereenn,keren
berbiiiiiihhh,barbie
canteek,cantik
yahh,ya
gini,begini
aminnnn,amin
aja,saja
udah,sudah
engga,tidak
kebayang,terbayang
gmna,bagaimana
teru,terus
nyatok,mencatok
nyampenya,sampainya
yg,yang
goncengin,boncengkan
blm,belum
kasi,kasih
mba,mbak
mba,mbak
bgt,sekali
dianterin,diantar
gebleg,geblek
gw,gue
dianterin,diantarkan
udh,sudah
bosen,bosan
anterin,antar
ama,sama
gw,gue
pengen,ingin
engga,tidak
aja,saja
yg,yang
ngantar,mengantar
nganterin,mengantarkan
nangis,menangis
mz,mas
emg,memang
nerima,menerima
ati2,hati-hati
ntar,sebentar
diapa2in,diapa-apai
lgi,lagi
beneran,benaran
gak,tidak
yeuh,ya
ga,tidak
dianterin,diantar
kmn,kemana
anterin,antarkan
gak,tidak
kmu,kamu
dianter,diantar
disupirin,disopiri
anterin,antarkan
yg,yang
yg,yang
yg,yang
yg,yang
klo,kalau
bgt,sekali
aj,saja
lbh,lebih
trs,terus
jidad,jidat
lbh,lebih
yg,yang
lbh,lebih
yg,yang
lbh,lebih
jangan2,jangan-jangan
yg,yang
yg,yang
yg,yang
yg,yang
ga,tidak
yg,yang
ciee,cie
yg,yang
bln,bulan
novembr,november
yaa,ya
ka,kak
smga,semoga
smpe,sampai
hri,hari
yg,yang
donk,dong
bedain,membedakan
yg,yang
genduut,gendut
ka,kak
yg,yang
yg,yang
ehhh,eh
smua,semua
gak,tidak
yaa,ya
kl,kalau
yg,yang
g,tidak
bertatto,bertato
brrt,berarti
ak,aku
yg,yang
yg,yang
kana,kanan
yg,yang
yg,yang
dtg,datang
doong,dong
yg,yang
bedain,membedakan
yg,yang
yg,yang
yg,yang
sbelah,sebelah
cew,cewek
it,itu
yg,yang
sblah,sebelah
yg,yang
keliatan,kelihatan
yg,yang
tauuu,tahu
yg,yang
yg,yang
yg,yang
tengaj,tengah
yg,yang
yg,yang
ka,kak
org,orang
kn,kan
ps,pas
jg,juga
liat,lihat
kk,kakak
dri,dari
k,kak
kn,kan
yg,yang
ad,ada
yg,yang
pke,pakai
kk,kakak
y,ya
yg,yang
gmpg,gampang
bgt,sekali
yg,yang
yg,yang
engk,tidak
br,baru
yg,yang
gk,tidak
dr,dari
ak,aku
apal,hapal
dak,tidak
ni,ini
rupa2nya,rupa-rupanya
kembaq,kembar
yg,yang
yg,yang
yg,yang
yg,yang
bngt,sekali
yg,yang
tngh,tengah
yg,yang
klw,kalau
mknya,makanya
sdkit,sedikit
kyk,seperti
prmpuan,perempuan
yg,yang
pcarny,pacarnya
yg,yang
ketuker,tertukar
gmana,bagaimana
udah,sudah
yg,yang
tu,itu
yg,yang
yg,yang
drimnanya,darimananya
bgt,sekali
cntikan,cantikan
gak,tidak
edaaaan,edan
mw,mau
dgn,dengan
dgn,dengan
yg,yang
bngt,sekali
syp,siapa
yg,yang
bcnda,bercanda
cantiiik,cantik
ahhh,ah
uhhh,uh
bazengg,bajingan
haiii,hai
bangat,sekali
bosaan,bosan
gitu2,begitu-gitu
udah,sudah
pake,pakai
kmana2,kemana-mana
gak,tidak
yuuk,ayo
miripp,mirip
kk,kakak
kyk,seperti
bnget,sekali
lg,lagi
kl,kalau
adlh,adalah
dlm,dalam
hrsnya,harusnya
sdh,sudah
krn,karena
bhw,bahwa
yg,yang
bkn,bukan
yg,yang
sdg,sedang
org,orang
yg,yang
yg,yang
jd,jadi
tdk,tidak
krn,karena
gmn,bagaimana
kl,kalau
dgn,dengan
sdh,sudah
ksh,kasih
utk,untuk
kl,kalau
pdhl,padahal
lg,lagi
jd,jadi
dgn,dengan
komentar2,komentar-komentar
yg,yang
kenyataan2,kenyataan-kenyataan
yg,yang
silahkan,silakan
yg,yang
sbg,sebagai
dtg,datang
lwt,lewat
yg,yang
krn,karena
yg,yang
yg,yang
yg,yang
sy,saya
dlm,dalam
sdh,sudah
jd,jadi
sy,saya
spt,seperti
yg,yang
mba,mbak
yg,yang
sy,saya
yg,yang
jd,jadi
sy,saya
tp,tetapi
sj,saja
tdk,tidak
sy,saya
krn,karena
sy,saya
sdh,sudah
yg,yang
utk,untuk
jg,juga
sdh,sudah
blg,bilang
org2,orang-orang
dr,dari
gw,gue
blg,bilang
sukur2,sukur-sukur
yg,yang
dpt,dapat
dr,dari
tp,tetapi
bener,benar
yg,yang
mba,mbak
dlm,dalam
mba,mbak
aamiin,amin
lg,lagi
gw,gue
ksh,kasih
yg,yang
jg,juga
baek2,baik-baik
hati2,hati-hati
sma,sama
yg,yang
smua,semua
sma,sama
cma,cuma
yg,yang
gak,tidak
nasehatin,menasihati
blm,belum
jg,juga
dgn,dengan
jgn,jangan
krna,karena
hnya,hanya
km,kamu
yg,yang
bener,benar
yaa,ya
jgn,jangan
sama2,sama-sama
dgn,dengan
yg,yang
yg,yang
kl,kalau
utk,untuk
beda2,beda-beda
jgn,jangan
km,kamu
dgn,dengan
berbeda2,berbeda-beda
skrg,sekarang
yg,yang
bkn,bukan
yg,yang
silahkan,silakan
lg,lagi
dgn,dengan
dgn,dengan
yg,yang
dibkatakan,dikatakan
yg,yang
bhw,bahwa
mrk,mereka
yg,yang
doonk,dong
yg,yang
yg,yang
dgn,dengan
ngaku,mengaku
pengikuy,pengikut
tp,tetapi
ngmngin,mengomongkan
dr,dari
yg,yang
dmn,dimana
tuch,tuh
u,untuk
org,orang
yg,yang
ngmngin,mengomongkan
gak,tidak
dr,dari
gak,tidak
jgn,jangan
dapet,dapat
sblmnya,sebelumnya
mba,mbak
maksd,maksud
bner,benar
tp,tetapi
dr,dari
yg,yang
masing2,masing-masing
adkah,adakah
yg,yang
menbelah,membelah
yg,yang
karna,karena
mba,mbak
ayuk,ayo
yg,yang
mngira,mengira
bertolernsi,bertoleransi
slahkan,salahkan
krna,karena
tolernsi,toleransi
aminn,amin
yg,yang
tdk,tidak
tu,itu
tdk,tidak
yg,yang
dgn,dengan
dgn,dengan
yg,yang
yg,yang
tdk,tidak
yg,yang
skrang,sekarang
sbnarnya,sebenarnya
ingi,ingin
dlm,dalam
dah,deh
oalaaaa,walah
menjelekan,menjelekkan
hadeuuh,aduh
ngomong,mengomong
aja,saja
dikemanain,dikemanakan
pake,pakai
aja,saja
gk,tidak
yg,yang
aneh2,aneh-aneh
km,kamu
gmn,bagaimana
ngak,tidak
yg,yang
ato,atau
yg,yang
jg,juga
trus,terus
jg,juga
bpknya,bapaknya
yg,yang
dgn,dengan
jd,jadi
yg,yang
yg,yang
yg,yang
yg,yang
yg,yang
adlh,adalah
dlm,dalam
tdk,tidak
baca2,baca-baca
ga,tidak
yg,yang
dgn,dengan
lbh,lebih
hrsnya,harusnya
jwb,jawab
sy,saya
dgn,dengan
bkn,bukan
tp,tetapi
tdk,tidak
sy,saya
yg,yang
mrk,mereka
yg,yang
gk,tidak
mrk,mereka
adlh,adalah
bkn,bukan
cm,cuma
tp,tetapi
jg,juga
org,orang
bs,bisa
kl,kalau
tdk,tidak
tdk,tidak
lbh,lebih
dgn,dengan
tdk,tidak
yg,yang
mba,mbak
tp,tetapi
komen2,komen-komen
yg,yang
dgn,dengan
berbeda2,berbeda-beda
pdhl,padahal
dlm,dalam
yg,yang
adlh,adalah
adlh,adalah
yg,yang
kpd,kepada
tdk,tidak
sbg,sebagai
utk,untuk
dr,dari
ga,tidak
yg,yang
sebelum2nya,sebelum-sebelumnya
sbagai,sebagai
masing2,masing-masing
amiin,amin
sedihh,sedih
ka,kak
kangennnn,kangen
smga,semoga
d,di
gndakan,gandakan
kk,kakak
kangeeeeeeeenya,kangen
sm,sama
k,kak
bgt,sekali
yg,yang
kngen,kangen
bgtt,sekali
sma,sama
gaa,tidak
akn,akan
yg,yang
ganti'kn,menggantikan
smg,semoga
tnang,tenang
amiiiiiiiiiiiiiiiiin,amin
sma,sama
kangennnn,kangen
kgeeeen,kangen
kangeenn,kangen
kangennn,kangen
bangeeeet,sekali
smoga,semoga
tnang,tenang
kgn,kangen
hdup,hidup
g,tidak
bsok,besok
hbis,habis
mti,mati
g,tidak
bngetttt,sekali
kangeen,kangen
bgect,sekali
bangat,sekali
dgn,dengan
ama,sama
yah,ya
ajah,saja
aja,saja
ajah,saja
fto,foto
ni,ini
"kebaikan""y,kebaikannya"
d,di
trima,terima
smoga,semoga
jg,juga
d,di
dssi,disisi
kngenn,kangen
bngett,sekali
kebayang,terbayang
yg,yang
yg,yang
kangeeeeennn,kangen
pengen,ingin
dgr,dengar
lagii,lagi
dasyat,dahsyat
ngak,tidak
karna,karena
ngak,tidak
ni,nih
aer,air
bgni,begini
kk,kakak
sya,saya
pake,pakai
skalii,sekali
kngen,kangen
kk,kakak
ama,sama
org,orang
yg,yang
spt,seperti
alm,almarhum
gg,tidak
dtinggl,ditinggal
kk,kakak
terbaiiikkkkk,terbaik
murahhh,murah
pecahhg,pecah
ihh,ih
skrang,sekarang
yahh,ya
gini,begini
kaka,kakak
kakakgh,kakak
terbaeeeek,terbaik
bet,sekali
pngen,ingin
emg,memang
prempuan,perempuan
pengen,ingin
udah,sudah
manteep,mantap
wihh,wih
gk,tidak
yg,yang
ngerii,ngeri
bangettt,sekali
dehh,deh
makasih,terima kasih
yg,yang
nggeh,engah
indonesiaaa,indonesia
makasih,terima kasih
beneran,benaran
inia,ini
ap,apa
maluu,malu
sempet,sempat
karna,karena
gk,tidak
cobaaaa,coba
ngerii,ngeri
bangett,sekali
dehhh,deh
gak,tidak
akn,akan
nyesel,menyesal
cepetan,cepatan
ga,tidak
nyesel,menyesal
udah,sudah
buktiin,membuktikan
yg,yang
ntapsss,mantap
njir,anjir
kamiiii,kami
yg,yang
bgttt,sekali
sll,selalu
smangat,semangat
mb,mbak
bc,baca
makasih,terima kasih
byk,banyak
temen2,teman-teman
yg,yang
yaa,ya
byk,banyak
yg,yang
syg,sayang
aq,aku
qmu,kamu
aq,aku
jdi,jadi
tw,tahu
gimana,bagaimana
sdkit2,sedikit-sedikit
tntg,tentang
penyakitny,penyakitnya
gak,tidak
da,ada
yg,yang
gak,tidak
mgkin,mungkin
yg,yang
qmu,kamu
slalu,selalu
slalu,selalu
ngajarin,mengajari
tntg,tentang
pa,apa
krn,karena
smakin,semakin
qmu,kamu
dy,dia
spt,seperti
laenny,lainnya
jga,juga
dri,dari
laenny,lainnya
jga,juga
jga,juga
yach,ya
smoga,semoga
bsa,bisa
dapet,dapat
amiinnn,amin
scpatny,secepatnya
trus,terus
yach,ya
bwt,buat
sampein,sampaikan
bwt,buat
yach,ya
smoga,semoga
slalu,selalu
jdi,jadi
yg,yang
bwt,buat
tuany,tuanya
jdi,jadi
yg,yang
amiiinn,amin
bgt,sekali
byk,banyak
amiin,amin
iyaaa,iya
gpp,tidak apa-apa
amiinn,amin
ttp,tetap
slalu,selalu
jdi,jadi
yach,ya
amiiinnn,amin
mudah2an,mudah-mudahan
doa2,doa-doa
yg,yang
utk,untuk
amiiinn,amin
bgttt,sekali
pjg,panjang
yahhh,ya
syg,sayang
adeeek,adek
jd,jadi
dr,dari
aminnn,amin
amiin,amin
q,ku
bca,baca
ampe,sampai
netes,menetes
mataq,mataku
q,ku
byangin,membayangkan
trjadi,terjadi
ma,sama
q,aku
skrg,sekarang
pnya,punya
bln,bulan
q,aku
dposisi,diposisi
mgkn,mungkin
q,aku
g,tidak
utk,untuk
q,ku
mba,mbak
spt,seperti
tanda2nya,tanda-tandanya
spt,seperti
dijwb,dijawab
smoga,semoga
yg,yang
orgtuanya,orang tuanya
org,orang
aamiin,amin
smoga,semoga
slalu,selalu
aamiin,amin
mudah2an,mudah-mudahan
amiin,amin
byk,banyak
dr,dari
ga,tidak
tmpt,tempat
anak2,anak-anak
tp,tetapi
anak2,anak-anak
dgn,dengan
anak2,anak-anak
yg,yang
dgn,dengan
utk,untuk
tmn2nya,teman-temannya
amiinn,amin
makasih,terima kasih
sayy,sayang
bgt,sekali
byk,banyak
dr,dari
q,ku
pgen,ingin
jd,jadi
kyk,seperti
km,kamu
benar2,benar-benar
pgn,ingin
salaam,salam
y,ya
kakk,kak
mba,mbak
nangis,menangis
mba,mbak
yg,yang
jg,juga
sampek,sampai
aq,aku
ngerasain,merasai
yg,yang
rasain,rasai
na,nya
aq,aku
ngajar,mengajar
gmn,bagaimana
dri,dari
yg,yang
yg,yang
yaa,ya
dri,dari
liad,lihat
fto2,foto-foto
ngerasa,merasa
yg,yang
laen,lain
yg,yang
bgt,sekali
yaa,ya
yg,yang
dlu,dahulu
karna,karena
dallam,dalam
tp,tetapi
yg,yang
yg,yang
sudh,sudah
dgn,dengan
orang2,orang-orang
tentanh,tentang
amiin,amin
dasyat,dahsyat
pingin,ingin
nangiss,menangis
bgt,sekali
yg,yang
jd,jadi
bgt,sekali
karna,karena
nnton,menonton
kejadianny,kejadiannya
tp,tetapi
ga,tidak
main2,main-main
yg,yang
kk,kakak
smua,semua
slalu,selalu
yg,yang
slalu,selalu
kk,kakak
klg,keluarga
jd,jadi
yg,yang
kk,kakak
sayaang,sayang
smoga,semoga
slalu,selalu
jd,jadi
kebanggan,kebanggaan
klg,keluarga
jd,jadi
yg,yang
yg,yang
slalu,selalu
org,orang
jd,jadi
jd,jadi
yg,yang
sayaang,sayang
klg,keluarga
pd,pada
msg2,masing-masing
yg,yang
smg,semoga
yg,yang
yg,yang
org,orang
bgt,sekali
pd,pada
yg,yang
tp,tetapi
hrs,harus
bgt,sekali
dr,dari
nyesel,menyesal
bgt,sekali
ga,tidak
sblm,sebelum
pdhl,padahal
ngerasa,merasa
ga,tidak
byk,banyak
pgnnya,inginnya
meluk,memeluk
tp,tetapi
ga,tidak
mudah2an,mudah-mudahan
kata2nya,kata-katanya
gak,tidak
lg,lagi
duhh,duh
bangeet,sekali
siiihhh,sih
mupeng,muka ingin
baper,bawa perasaan
trus,terus
gini,begini
gitu,begitu
caya,percaya
pingin,ingin
kpn,kapan
km,kamu
mna,mana
ny,nya
d,di
yg,yang
bgt,sekali
yg,yang
kek,seperti
gini,begini
gak,tidak
liat,lihat
aduhhhhhhhhh,aduh
bangettt,sekali
buseett,buset
gitu,begitu
mblo,jomblo
nyari,mencari
yg,yang
bgini,begini
km,kamu
kek,seperti
gini,begini
gini,begini
bkin,bikin
ga,tidak
bgt,sekali
yaa,ya
males,malas
njir,anjir
lucuuu,lucu
gagahx,gagahnya
miriiiip,mirip
kaliiii,kali
miriiiip,mirip
bgt,sekali
ky,kaya
wahh,wah
bgt,sekali
yakk,ya
ga,tidak
niru,meniru
bpknya,bapaknya
mudah2an,mudah-mudahan
bpkmu,bapakmu
aje,saja
aq,aku
sangt,sangat
kmn,kemana
dgn,dengan
slm,salam
gak,tidak
baang,bang
gasih,tidak sih
kasian,kasihan
gak,tidak
pake,pakai
mba,mbak
bgt,sekali
yuu,ayo
yg,yang
aqu,aku
yuuu,ayo
cantiik,cantik
yukk,ayo
rb,ribu
aja,saja
cantikk,cantik
gantengg,ganteng
kt,kita
bgt,sekali
seneng,senang
liat,lihat
samaa,sama
seneng,senang
liatnya,lihatnya
ngademin,mengademkan
aahh,ah
ngiri,mengiri
pengen,ingin
gini,begini
kakkk,kak
ayuk,ayo
yukk,ayo
kakk,kak
makasi,terima kasih
looo,loh
gak,tidak
pake,pakai
utk,untuk
yg,yang
yg,yang
ga,tidak
nyesel,menyesal
uda,sudah
keluarin,keluarkan
yokk,ayo
ayoook,ayo
gini,begini
gils,gila
kek,seperti
aja,saja
ono,sono
ama,sama
pke,pakai
kpn,kapan
kek,seperti
gni,begini
nggak,tidak
trs,terus
trus,terus
gini,begini
weeeh,wih
bagiin,membagikan
suksea,sukses
kaa,kak
temenan,berteman
yah,ya
temenan,berteman
bsa,bisa
sehh,sih
deket,dekat
bgt,sekali
temen,teman
dekt,dekat
ihh,ih
bgtt,sekali
genggg,geng
bsok,besok
gtu,begitu
yawloh,ya allah
gimana,bagaimana
gak,tidak
gak,tidak
gini,begini
njirr,anjir
bhnya,bahannya
km,kamu
dlu,dahulu
anjirrrr,anjir
cucokkk,cocok
loo,loh
samaaaa,sama
gak,tidak
nyangka,menyangka
dlm,dalam
yaaa,ya
abanggku,abangku
sayanggg,sayang
lagii,lagi
dsni,disini
ajaa,saja
silahkan,silakan
ciieeeeeee,cie
kokohh,engkoh
cieeeee,cie
sukaaa,suka
pdhal,padahal
takuttt,takut
yuks,ayo
yah,ya
yng,yang
kmrn,kemarin
bg,bang
kmrn,kemarin
bg,bang
pnjual,penjual
yh,ya
gak,tidak
ahhh,ah
sma,sama
ga,tidak
dung,dong
latian,latihan
yaaaa,ya
bgt,sekali
ampe,sampai
lgsg,langsung
aaaaaaakkk,ah
mauuuu,mau
yg,yang
ga,tidak
soga,moga
kmu,kamu
gak,tidak
yg,yang
gitu,begitu
kngen,kangen
pngen,ingin
tteh,teteh
sintron,sinetron
pake,pakai
astagaa,astaga
w,gue
ancurrr,hancur
ap,apa
td,tadi
iaa,iya
liat,lihat
dblkang,dibelakang
yayang,sayang
y,ya
yah,ya
ginian,beginian
gimna,bagaimana
bingit,sekali
kmu,kamu
gokillllll,gila
yg,yang
gokillllll,gila
kk,kakak
cntik,cantik
bgtt,sekali
aplks,aplikasi
pengen,ingin
nyoba,mencoba
yg,yang
dongg,dong
makasi,terima kasih
pling,paling
ska,suka
denger,dengar
ktawa,ketawa
amiin,amin
hrs,harus
aamiin,amin
yaa,ya
gini,begini
aamiin,amin
amiin,amin
pengen,ingin
baguuus,bagus
aamiin,amin
ntar,sebentar
ayoook,ayo
udah,sudah
kaaan,kan
ihhh,ih
banged,sekali
yok,ayo
pgn,ingin
gini,begini
mauuuuu,mau
ngepoin,mengepoi
uuhh,uh
ngakak,mengakak
gitu,begitu
bgt,sekali
bgt,sekali
dah,deh
pengen,ingin
beut,sekali
baper,bawa perasaan
gw,gue
gw,gue
skrg,sekarang
sampe,sampai
duhh,duh
njirrr,anjir
duhh,duh
baper,bawa perasaan
ngiri,mengiri
pengeeenn,ingin
bgt,sekali
yak,ya
g,tidak
bosen,bosan
liat,lihat
dongggg,dong
gini,begini
trs,terus
trs,terus
nyampe,sampai
g,tidak
bosen,bosan
liatnya,lihatnya
qu,ku
qu,ku
gak,tidak
pengen,ingin
hatii,hati
aja,saja
laa,lah
besook,besok
ahh,ah
aq,aku
mauu,mau
gtuu,begitu
gara2,gara-gara
maen,main
yg,yang
njayyy,anjay
ngakak,mengakak
elu,lu
maacih,terima kasih
tokayyy,tahi
yg,yang
taun,tahun
to,tetapi
mksdku,maksudku
knp,kenapa
gw,gue
gituin,begitukan
lgsung,langsung
cba,coba
gk,tidak
nh,nih
bgt,sekali
klo,kalau
lg,lagi
gituin,begitukan
gak,tidak
yah,ya
gak,tidak
"ilang"",hilang-hilang"
giniin,beginikan
aja,saja
ksini,kesini
kaaa,kak
kubarikan,kuberikan
aq,aku
giniin,beginikan
ayank,sayang
anyeng,anjing
skali,sekali
bng,bang
njirrr,anjir
lgi,lagi
ngapain,mengapai
kya,kaya
gx,tidak
yankkk,sayang
aja,saja
d,di
cukurrr,cukur
gilaaaaaa,gila
aja,saja
yah,ya
ga,tidak
tu,itu
pala,kepala
klau,kalau
bgt,sekali
kaka,kakak
yhaaa,ya
qaqaaaa,kakak
sayangkuuuuu,sayangku
kakakuuu,kakakku
dh,deh
orng,orang
kk,kakak
rb,ribu
klau,kalau
rb,ribu
yah,ya
bangett,sekali
bgt,sekali
gini,begini
naksir,menaksir
pake,pakai
pake,pakai
rekomendasiin,merekomendasikan
gak,tidak
banx,bang
utk,untuk
edannn,edan
pake,pakai
udah,sudah
nggk,tidak
thn,tahun
thn,tahun
makasih,terima kasih
udh,sudah
ksh,kasih
bangett,sekali
ga,tidak
lg,lagi
liat,lihat
bs,bisa
bape,bawa perasaan
skrg,sekarang
yg,yang
"artis"",artis-artis"
naksir,menaksir
ngelahirin,melahirkan
paksain,memaksa
biasaa,biasa
pengen,ingin
besarin,membesarkan
hub,hubungi
aja,saja
makasih,terima kasih
saranin,menyarankan
ga,tidak
udah,sudah
saranin,menyarankan
bangett,sekali
saranin,menyarankan
skrg,sekarang
ga,tidak
nyesel,menyesal
aja,saja
makasih,terima kasih
yaa,ya
hubunggi,hubungi
gak,tidak
loooh,loh
kek,seperti
telimakacih,terima kasih
telimakacih,terima kasih
bngt,sekali
keliatan,kelihatan
yuuk,ayo
nerawang,menerawang
alloh,allah
cantiiiik,cantik
ga,tidak
didapet,didapat
tanya2,tanya-tanya
dapetin,mendapati
gak,tidak
pede,percaya diri
gara2,gara-gara
ga,tidak
utk,untuk
smoga,semoga
ttp,tetap
aminn,amin
kuningggg,kuning
kk,kakak
mz,mas
mb,mbak
emg,memang
keliatan,kelihatan
nyolot,menyolot
donk,dong
kk,kakak
udah,sudah
aja,saja
sihhh,sih
tu,itu
cantikkk,cantik
kakk,kakak
ska,suka
ko,kok
gak,tidak
yah,ya
org,orang
indo,indonesia
lgsg,langsung
kyk,seperti
gini,begini
ga,tidak
ga,tidak
yg,yang
liat,lihat
ad,ada
d,di
bangat,sekali
aja,saja
ni,ini
elahh,alah
ngaca,mengaca
gk,tidak
pd,pada
ga,tidak
pnting,penting
pnya,punya
dlm,dalam
ga,tidak
ga,tidak
bela2in,membela-bela
smpe,sampai
marah2an,marah-marahan
prnh,pernah
wlaupun,walaupun
syantiiiiikkkkkkkkkkkk,cantik
punyaaa,punya
aja,saja
gk,tidak
yg,yang
nd,tidak
ush,usah
"bwa"",bawa-bawa"
agma,agama
subahanallah,subhanallah
cantikk,cantik
bgt,sekali
pke,pakai
hijabb,hijab
engga,tidak
bangettttt,sekali
kerrennn,keren
ga,tidak
makasih,terima kasih
udah,sudah
rekomendasiin,merekomendasikan
jd,jadi
lbih,lebih
dr,dari
ngetik,mengetik
ntr,sebentar
ntah,entah
pan,kapan
aja,saja
mateeeek,mati
mba,mbak
yah,ya
sma,sama
kl,kalau
gimana,bagaimana
geetoo,begitu
ginian,beginian
ga,tidak
diginiin,dibeginikan
ntr,sebentar
sewain,menyewa
kokkk,kok
muluuu,melulu
kaka,kakak
yaaang,yang
iyaa,iya
ntar,sebentar
dbuat,dibuat
gituu,begitu
yappp,ya
msih,masih
thn,tahun
lg,lagi
uwahhhhh,wah
g,tidak
bs,bisa
lbh,lebih
lg,lagi
bnr2,benar-benar
psgn,pasangan
yg,yang
cocokkk,cocok
dr,dari
ujg,ujung
rmbut,rambut
smp,sampai
kki,kaki
kgn,kangen
liat,lihat
liat,lihat
kgn,kangen
mreka,mereka
yg,yang
dlu,dahulu
yg,yang
pengen,ingin
y,ya
hayukk,hayo
gini,begini
segitunya,sebegitunya
pngn,ingin
ntab,mantab
mauu,mau
atuhhh,atuh
yukss,ayo
lihaatttt,lihat
yg,yang
ayoo,ayo
niiiihh,nih
liattt,lihat
cuyyy,cuy
dr,dari
gapernah,tidak pernah
bosen,bosan
liatiii,lihat
jombsss,jomblo
emesshhh,gemas
gemeessss,gemas
poollll,pol
gemesyak,gemas ya
pengen,ingin
gini,begini
bgtttt,sekali
ko,kok
klo,kalau
kyk,seperti
gini,begini
yaaa,ya
cntiknya,cantiknya
yaaa,ya
lucuuu,lucu
bngttt,sekali
ngegmesin,menggemaskan
hndak,hendak
kh,kah
hndk,hendak
iiih,ih
lutunaa,lucunya
lucuuu,lucu
abiz,habis
bkin,bikin
gemes,gemas
ngga,tidak
